symbols,SPLIT_DATE,SPLIT_RATIO,PREV_CLOSE,CURR_CLOSE
TIMETECHNO,2025-09-23,2.11,477.8,226.75
TPHQ,2023-12-14,9.58,11.5,1.2
UEL,2025-06-02,1.6,454.65,284.15
UEL,2025-10-13,2.86,371.35,129.9
UGROCAP,2024-02-14,3.7,981.47,265.6
UGROCAP,2024-05-06,3.72,1004.0,269.6
UNIVASTU,2025-10-13,2.99,262.2,87.8
V2RETAIL,2026-03-25,9.82,1927.2,196.3
VESUVIUS,2025-06-10,9.53,5898.5,619.0
VGL,2026-03-02,1.86,128.09,69.02
VIMTALABS,2025-06-13,1.95,1003.55,513.85
VMART,2025-06-23,3.85,3556.5,923.4
VRLLOG,2025-08-14,1.99,557.65,280.25
VSTIND,2024-09-06,9.26,4456.45,481.25
