SYMBOL,SECTOR,holidays
ATL-EQ,Full Market / Other,
ATLANTAA-EQ,Full Market / Other,
ATLANTAELE-EQ,Full Market / Other,
ATLASCYCLE-EQ,Full Market / Other,
ATULAUTO-EQ,Full Market / Other,
AURIGROW-EQ,Full Market / Other,
AURIONPRO-EQ,Full Market / Other,
AURUM-EQ,Full Market / Other,
AUTOAXLES-EQ,Full Market / Other,
AVAILFC-EQ,Full Market / Other,
AVALON-EQ,Full Market / Other,
AVANTEL-EQ,Full Market / Other,
AVANTIFEED-EQ,Full Market / Other,
AVG-EQ,Full Market / Other,
AVL-EQ,Full Market / Other,
AVONMORE-EQ,Full Market / Other,
AVROIND-EQ,Full Market / Other,
AVTNPL-EQ,Full Market / Other,
AWFIS-EQ,Full Market / Other,
AWHCL-EQ,Full Market / Other,
AXISCADES-EQ,Full Market / Other,
AXITA-EQ,Full Market / Other,
AYE-EQ,Full Market / Other,
AYMSYNTEX-EQ,Full Market / Other,
AZAD-EQ,Full Market / Other,
BAFNAPH-EQ,Full Market / Other,
BAGFILMS-EQ,Full Market / Other,
BAIDFIN-EQ,Full Market / Other,
BAJAJCON-EQ,Full Market / Other,
BAJAJELEC-EQ,Full Market / Other,
BAJAJHCARE-EQ,Full Market / Other,
BAJAJHIND-EQ,Full Market / Other,
BAJAJINDEF-EQ,Full Market / Other,
BAJAJST-EQ,Full Market / Other,
BAJEL-EQ,Full Market / Other,
BALAJEE-EQ,Full Market / Other,
BALAJITELE-EQ,Full Market / Other,
BALAMINES-EQ,Full Market / Other,
BALKRISHNA-EQ,Full Market / Other,
BALMLAWRIE-EQ,Full Market / Other,
BALPHARMA-EQ,Full Market / Other,
BALUFORGE-EQ,Full Market / Other,
BANARBEADS-EQ,Full Market / Other,
BANARISUG-EQ,Full Market / Other,
BANCOINDIA-EQ,Full Market / Other,
BANG-EQ,Full Market / Other,
BANSALWIRE-EQ,Full Market / Other,
BANSWRAS-EQ,Full Market / Other,
BASF-EQ,Full Market / Other,
BASML-EQ,Full Market / Other,
BATLIBOI-EQ,Full Market / Other,
BBL-EQ,Full Market / Other,
BBOX-EQ,Full Market / Other,
BBTCL-EQ,Full Market / Other,
BCG-EQ,Full Market / Other,
BCLIND-EQ,Full Market / Other,
BCONCEPTS-EQ,Full Market / Other,
BCPL-EQ,Full Market / Other,
BEARDSELL-EQ,Full Market / Other,
BECTORFOOD-EQ,Full Market / Other,
BEDMUTHA-EQ,Full Market / Other,
BEEKAY-EQ,Full Market / Other,
BELLACASA-EQ,Full Market / Other,
BENGALASM-EQ,Full Market / Other,
BEPL-EQ,Full Market / Other,
BESTAGRO-EQ,Full Market / Other,
BETA-EQ,Full Market / Other,
BFINVEST-EQ,Full Market / Other,
BFUTILITIE-EQ,Full Market / Other,
BHAGCHEM-EQ,Full Market / Other,
BHAGERIA-EQ,Full Market / Other,
BHARATCOAL-EQ,Full Market / Other,
BHARATGEAR-EQ,Full Market / Other,
BHARATRAS-EQ,Full Market / Other,
BHARATSE-EQ,Full Market / Other,
BHARATWIRE-EQ,Full Market / Other,
BI-EQ,Full Market / Other,
BIGBLOC-EQ,Full Market / Other,
BIL-EQ,Full Market / Other,
BIMETAL-EQ,Full Market / Other,
BIOFILCHEM-EQ,Full Market / Other,
BIRLACORPN-EQ,Full Market / Other,
BIRLAMONEY-EQ,Full Market / Other,
BIRLANU-EQ,Full Market / Other,
BIRLAPREC-EQ,Full Market / Other,
BLACKBUCK-EQ,Full Market / Other,
BLACKROSE-EQ,Full Market / Other,
BLAL-EQ,Full Market / Other,
BLIL-EQ,Full Market / Other,
BLISSGVS-EQ,Full Market / Other,
BLKASHYAP-EQ,Full Market / Other,
BLSE-EQ,Full Market / Other,
BLUECHIP-EQ,Full Market / Other,
BLUESTONE-EQ,Full Market / Other,
BLUSPRING-EQ,Full Market / Other,
BMWVENTLTD-EQ,Full Market / Other,
BNALTD-EQ,Full Market / Other,
BOMDYEING-EQ,Full Market / Other,
BONLON-EQ,Full Market / Other,
BORANA-EQ,Full Market / Other,
BOROLTD-EQ,Full Market / Other,
BORORENEW-EQ,Full Market / Other,
BOROSCI-EQ,Full Market / Other,
BOSCH-HCIL-EQ,Full Market / Other,
BPL-EQ,Full Market / Other,
BRIGHOTEL-EQ,Full Market / Other,
BRNL-EQ,Full Market / Other,
BSL-EQ,Full Market / Other,
BTML-EQ,Full Market / Other,
BTTL-EQ,Full Market / Other,
BUILDPRO-EQ,Full Market / Other,
BUTTERFLY-EQ,Full Market / Other,
BVCL-EQ,Full Market / Other,
BYKE-EQ,Full Market / Other,
CAMLINFINE-EQ,Full Market / Other,
CAMPUS-EQ,Full Market / Other,
CANTABIL-EQ,Full Market / Other,
CAPACITE-EQ,Full Market / Other,
CAPILLARY-EQ,Full Market / Other,
CAPITALSFB-EQ,Full Market / Other,
CARERATING-EQ,Full Market / Other,
CARRARO-EQ,Full Market / Other,
CARYSIL-EQ,Full Market / Other,
CCAVENUE-EQ,Full Market / Other,
CCCL-EQ,Full Market / Other,
