date,symb,clos,stge,wrsi,ws30,volu,DlPer,rvol,vspk,ascr,arnk,chan,g200,zone,rsi,delt,bbup,vtrd,bbbw,bbsq,g050,g020,adx,open,bbdn,shgh,slw,high,low,eqb,s020,s050,s100,s200,h52h,l52l,vrnk,rrnk,tren,tstr,vola,mpat,pcon,psta,pend,ppnt,xpat,patt,obv,sect
2025-08-26,INDORAMA,50.45,Stage 2 (Uptrend),57.38,43.28,127962,,0.97,False,0.65,530.0,-3.44,True,Near Premium,45.8,15.21,False,Decreasing,0.1461,False,True,False,15.83,52.25,False,58.61,32.94,53.5,50.35,45.78,52.03,50.41,45.92,42.94,59.5,32.0,298.0,243.0,Sideways,Moderate,45.05,No Clear Pattern,0,,,,,No Clear Pattern,32095149,Textiles & Apparel
2025-08-26,CENTENKA,501.65,Stage 1/3 (Neutral),47.49,501.24,12705,62.35,0.6,False,0.64,532.0,-1.04,False,Near Discount,48.65,42.0,False,Decreasing,0.0623,False,False,True,26.32,506.9,False,821.4,421.35,506.9,494.45,621.38,501.32,507.38,495.92,538.5,864.9,419.3,665.0,467.0,Uptrend,Strong,22.32,Cup and Handle,87,27-03-2025,01-08-2025,RimL:27-03-2025@554.3 ; Btm:13-05-2025@421.35 ; RimR:22-07-2025@529.6 ; Hdl:01-08-2025@490.9,Rounding Bottom(79) | Symmetrical Triangle(74) | Diamond Top(60),Cup and Handle(87) | Rounding Bottom(79) | Symmetrical Triangle(74) | Diamond Top(60),7635451,Textiles & Apparel
2025-08-26,SPLIL,40.85,Stage 1/3 (Neutral),49.04,39.1,153152,17.94,11.58,True,0.63,533.0,-0.1,False,Near Discount,59.27,41.64,False,Increasing,0.2149,False,True,True,23.39,40.89,False,67.0,31.65,44.0,39.5,49.32,38.81,40.38,38.61,45.52,70.0,30.4,267.0,5.0,Sideways,Moderate,35.98,Broadening Formation,72,28-02-2025,15-08-2025,H1:07-03-2025@40.76 ; H2:04-07-2025@44.18 ; L1:28-02-2025@36.31 ; L2:15-08-2025@35.46,Rounding Top(63),Broadening Formation(72) | Rounding Top(63),930698,Textiles & Apparel
2025-08-26,BHAGERIA,186.19,Stage 1/3 (Neutral),51.24,175.94,33700,55.88,0.81,False,0.63,533.0,1.19,True,Near Discount,53.18,35.22,False,Decreasing,0.2162,False,False,True,30.13,184.0,False,269.27,144.97,187.31,181.53,207.12,181.78,191.02,180.96,182.95,287.4,132.0,520.0,320.0,Downtrend,Strong,40.86,Rounding Top,71,13-05-2025,26-08-2025,Start:13-05-2025@161.49 ; Q1:06-06-2025@189.44 ; Mid:03-07-2025@204.4 ; Q3:30-07-2025@202.39 ; End:26-08-2025@186.19,,Rounding Top(71),16728673,Chemicals
2025-08-26,JAYBARMARU,84.35,Stage 2 (Uptrend),56.66,72.16,74239,,0.22,False,0.63,533.0,-0.65,True,Near Discount,55.96,23.72,False,Increasing,0.2162,False,True,True,29.44,84.9,False,121.69,56.61,87.5,82.1,89.15,83.64,79.33,74.22,77.15,110.58,55.5,381.0,784.0,Uptrend,Strong,59.31,Ascending Channel,69,25-04-2025,15-08-2025,UL1:25-04-2025@63.66 ; UL2:23-05-2025@78.83 ; UL3:13-06-2025@78.29 ; UL4:08-08-2025@90.44 ; LL1:09-05-2025@59.68 ; LL2:20-06-2025@77.0 ; LL3:25-07-2025@72.58 ; LL4:15-08-2025@81.25,Broadening Formation(68),Ascending Channel(69) | Broadening Formation(68),4716915,Automobiles & Auto Parts
2025-08-26,AUTOAXLES,1726.1,Stage 1/3 (Neutral),48.04,1722.05,3603,52.57,0.22,False,0.62,536.0,-2.72,False,Near Discount,46.18,18.0,False,Decreasing,0.1919,False,False,False,17.28,1774.4,False,2137.6,1549.05,1774.4,1718.5,1843.32,1747.96,1784.68,1746.05,1741.23,2105.0,1520.0,794.0,784.0,Sideways,Moderate,33.58,Broadening Formation,68,14-03-2025,15-08-2025,H1:21-03-2025@1719.25 ; H2:25-07-2025@1896.7 ; L1:14-03-2025@1549.05 ; L2:15-08-2025@1634.5,Rounding Top(59),Broadening Formation(68) | Rounding Top(59),110994,Automobiles & Auto Parts
2025-08-26,5PAISA,357.9,Stage 4 (Downtrend),37.94,377.75,17093,55.03,1.08,False,0.61,537.0,-1.26,False,Near Discount,33.21,41.04,False,Increasing,0.0868,False,False,False,35.31,362.45,False,588.1,315.8,362.45,350.0,451.95,373.54,390.87,389.15,407.0,607.05,311.65,622.0,208.0,Downtrend,Strong,23.9,Symmetrical Triangle,74,09-05-2025,04-07-2025,H1:30-05-2025@410.95 ; H2:04-07-2025@413.6 ; L1:09-05-2025@354.75 ; L2:20-06-2025@390.0,Double Top(66) | Rounding Top(59),Symmetrical Triangle(74) | Double Top(66) | Rounding Top(59),-1216664,Investment Banking & Investment Services
2025-08-26,SESHAPAPER,272.85,Stage 4 (Downtrend),45.32,279.01,22370,43.73,0.64,False,0.61,537.0,-1.85,False,Near Discount,49.24,26.94,False,Decreasing,0.0761,False,False,True,27.51,278.0,False,367.05,260.05,278.0,270.05,313.55,268.7,285.02,280.91,287.6,373.45,256.25,592.0,431.0,Downtrend,Strong,39.78,Broadening Formation,68,07-02-2025,20-06-2025,H1:21-02-2025@301.35 ; H2:20-06-2025@306.45 ; L1:07-02-2025@282.15 ; L2:06-06-2025@282.15,Diamond Top(60) | Rounding Top(59),Broadening Formation(68) | Diamond Top(60) | Rounding Top(59),776916,Paper & Forest Products
2025-08-26,VISAKAIND,83.49,Stage 1/3 (Neutral),51.3,75.54,72105,,0.73,False,0.6,539.0,-3.46,True,Near Discount,44.59,32.34,False,Increasing,0.0859,False,False,False,14.57,86.48,False,121.44,57.09,87.3,83.0,89.26,85.21,85.99,78.97,81.16,123.4,55.05,390.0,374.0,Sideways,Weak,30.93,Triple Bottom,82,20-06-2025,15-08-2025,P1:20-06-2025@80.74 ; P2:25-07-2025@83.08 ; P3:15-08-2025@83.39,Double Top(78) | Broadening Formation(68),Triple Bottom(82) | Double Top(78) | Broadening Formation(68),14580353,Construction Materials
2025-08-26,BROOKS,139.39,Stage 1/3 (Neutral),49.04,134.97,41083,,1.71,False,0.57,540.0,-0.66,False,Equilibrium,36.16,29.91,False,Increasing,0.1361,False,False,False,17.16,140.31,False,194.97,73.8,143.5,136.15,134.38,150.93,148.59,141.1,142.03,198.86,95.55,488.0,92.0,Sideways,Moderate,36.42,Rounding Top,75,01-07-2025,26-08-2025,Start:01-07-2025@145.97 ; Q1:15-07-2025@157.76 ; Mid:29-07-2025@148.0 ; Q3:12-08-2025@148.78 ; End:26-08-2025@139.39,,Rounding Top(75),6906021,Pharmaceuticals
