Symbol,Sector,holidays
DIXON-EQ,"Computers, Phones & Household Electronics",
DLF-EQ,Real Estate Operations,
DMART-EQ,Food & Drug Retailing,
DOMS-EQ,Professional & Commercial Services,
DRREDDY-EQ,Pharmaceuticals,
ECLERX-EQ,Professional & Commercial Services,
EICHERMOT-EQ,Automobiles & Auto Parts,
EIDPARRY-EQ,Chemicals,
EIHOTEL-EQ,Hotels & Entertainment Services,
ELECON-EQ,"Machinery, Equipment & Components",
ELGIEQUIP-EQ,"Machinery, Equipment & Components",
EMAMILTD-EQ,Personal & Household Products & Services,
EMCURE-EQ,Pharmaceuticals,
ENDURANCE-EQ,Automobiles & Auto Parts,
ENGINERSIN-EQ,Construction & Engineering,
ERIS-EQ,Pharmaceuticals,
ESCORTS-EQ,"Machinery, Equipment & Components",
ETERNAL-EQ,Software & IT Services,
EXIDEIND-EQ,Automobiles & Auto Parts,
FACT-EQ,Chemicals,
FEDERALBNK-EQ,Banking Services,
FINCABLES-EQ,"Machinery, Equipment & Components",
FINPIPE-EQ,Homebuilding & Construction Supplies,
FIRSTCRY-EQ,Specialty Retailers,
FIVESTAR-EQ,Banking Services,
FLUOROCHEM-EQ,Chemicals,
FORTIS-EQ,Healthcare Providers & Services,
FSL-EQ,Professional & Commercial Services,
GAIL-EQ,Natural Gas Utilities,
GESHIP-EQ,Oil & Gas Related Equipment and Services,
GICRE-EQ,Insurance,
GILLETTE-EQ,Personal & Household Products & Services,
GLAND-EQ,Pharmaceuticals,
GLAXO-EQ,Pharmaceuticals,
GLENMARK-EQ,Pharmaceuticals,
GMDCLTD-EQ,Coal,
GMRAIRPORT-EQ,Transport Infrastructure,
GNFC-EQ,Chemicals,
GODFRYPHLP-EQ,Food & Tobacco,
GODIGIT-EQ,Insurance,
GODREJAGRO-EQ,Food & Tobacco,
GODREJCP-EQ,Personal & Household Products & Services,
GODREJIND-EQ,Consumer Goods Conglomerates,
GODREJPROP-EQ,Real Estate Operations,
GPIL-EQ,Metals & Mining,
GPPL-EQ,Transport Infrastructure,
GRANULES-EQ,Pharmaceuticals,
GRAPHITE-EQ,"Machinery, Equipment & Components",
GRASIM-EQ,Construction Materials,
GRAVITA-EQ,Metals & Mining,
GRSE-EQ,Aerospace & Defense,
GSPL-EQ,Natural Gas Utilities,
GUJGASLTD-EQ,Natural Gas Utilities,
GVT&D-EQ,"Machinery, Equipment & Components",
HAL-EQ,Aerospace & Defense,
HAPPSTMNDS-EQ,Software & IT Services,
HAVELLS-EQ,"Machinery, Equipment & Components",
HBLENGINE-EQ,"Machinery, Equipment & Components",
HCLTECH-EQ,Software & IT Services,
HDFCAMC-EQ,Investment Banking & Investment Services,
HDFCBANK-EQ,Banking Services,
HDFCLIFE-EQ,Insurance,
HEG-EQ,"Machinery, Equipment & Components",
HEROMOTOCO-EQ,Automobiles & Auto Parts,
HFCL-EQ,Communications & Networking,
HINDALCO-EQ,Metals & Mining,
HINDCOPPER-EQ,Metals & Mining,
HINDPETRO-EQ,Oil & Gas,
HINDUNILVR-EQ,Personal & Household Products & Services,
HINDZINC-EQ,Metals & Mining,
HOMEFIRST-EQ,Banking Services,
HONASA-EQ,Specialty Retailers,
HONAUT-EQ,Electronic Equipment & Parts,
HSCL-EQ,Chemicals,
HUDCO-EQ,Banking Services,
HYUNDAI-EQ,Automobiles & Auto Parts,
ICICIBANK-EQ,Banking Services,
